datetime,temp_2m,pm10,no2,co,o3
2018-01-01 00:00:00,277.04053,3.7580474e-08,3.0464687e-08,4.6025593e-07,2.3906528e-09
2018-01-01 03:00:00,276.437,3.830286e-08,3.297369e-08,4.6473812e-07,8.534125e-10
2018-01-01 06:00:00,275.89648,4.0091827e-08,3.2619766e-08,4.9153317e-07,6.4640876e-10
2018-01-01 09:00:00,276.24023,4.0685254e-08,2.2507637e-08,5.0228164e-07,9.117302e-09
2018-01-01 12:00:00,278.2871,1.4529334e-08,1.3241467e-08,3.761426e-07,2.6173085e-08
2018-01-01 15:00:00,279.81274,1.941397e-08,1.7649171e-08,3.6520072e-07,1.9664421e-08
2018-01-01 18:00:00,275.73486,3.8375095e-08,2.5820317e-08,4.6305945e-07,1.5658358e-09
2018-01-01 21:00:00,275.82617,4.619526e-08,2.6488035e-08,5.2668787e-07,1.4507836e-09
2018-01-02 00:00:00,274.9702,3.614494e-08,2.3439888e-08,4.6185528e-07,7.2797994e-09
2018-01-02 03:00:00,275.28003,3.949537e-08,2.4401547e-08,4.793387e-07,1.0073096e-08
2018-01-02 06:00:00,275.40015,3.4805687e-08,2.5675007e-08,4.0573272e-07,1.0349355e-08
2018-01-02 09:00:00,276.635,2.7359015e-08,1.5739477e-08,2.852361e-07,2.1616998e-08
2018-01-02 12:00:00,282.1001,8.930513e-09,5.5264455e-09,1.7133294e-07,4.1220062e-08
2018-01-02 15:00:00,281.9148,1.0831084e-08,6.63882e-09,1.5511237e-07,4.108036e-08
2018-01-02 18:00:00,277.19873,2.7567143e-08,2.2517728e-08,2.3834437e-07,1.0722017e-08
2018-01-02 21:00:00,276.37866,4.1712074e-08,2.6062754e-08,3.415763e-07,4.912048e-09
2018-01-03 00:00:00,275.4253,4.596741e-08,2.7347312e-08,4.1983085e-07,4.642796e-09
2018-01-03 03:00:00,274.88403,4.6373e-08,2.992494e-08,4.635181e-07,3.9816976e-09
2018-01-03 06:00:00,274.45532,4.594037e-08,3.07745e-08,4.7450246e-07,2.2199174e-09
2018-01-03 09:00:00,276.9099,3.835749e-08,2.4845107e-08,3.862484e-07,7.2247532e-09
2018-01-03 12:00:00,279.89624,1.6969171e-08,2.0272507e-08,2.7448627e-07,2.2412575e-08
2018-01-03 15:00:00,279.66797,2.1424473e-08,1.9217183e-08,2.3804861e-07,2.3349346e-08
2018-01-03 18:00:00,277.8982,3.3063763e-08,2.5804718e-08,3.0651657e-07,1.174164e-08
2018-01-03 21:00:00,276.77246,4.1547896e-08,2.8012971e-08,3.7603263e-07,8.824028e-09
2018-01-04 00:00:00,277.39014,4.2209933e-08,1.9680977e-08,3.944023e-07,1.3077253e-08
2018-01-04 03:00:00,276.99097,4.4038217e-08,2.0849486e-08,4.384443e-07,1.3743941e-08
2018-01-04 06:00:00,276.32568,4.6148802e-08,2.1452925e-08,5.027455e-07,1.1945195e-08
2018-01-04 09:00:00,278.14087,4.7748426e-08,2.1855168e-08,5.386969e-07,1.0659481e-08
2018-01-04 12:00:00,281.15405,1.7322623e-08,1.7675813e-08,3.4785265e-07,2.299435e-08
2018-01-04 15:00:00,281.5166,1.7505382e-08,1.9425038e-08,3.061565e-07,1.7219378e-08
2018-01-04 18:00:00,278.86816,2.5054081e-08,2.6937228e-08,3.4035236e-07,3.2647267e-09
2018-01-04 21:00:00,277.84424,3.148118e-08,2.7555927e-08,3.7245294e-07,1.3935262e-09
